Date,New Cases,Lockdown,Temp_0,Temp_1,Temp_2,Temp_3,Temp_4,Temp_5,Temp_6,Temp_7,Temp_8,Temp_9,Temp_10,Temp_11,Temp_12,Temp_13,Temp_14,RH_0,RH_1,RH_2,RH_3,RH_4,RH_5,RH_6,RH_7,RH_8,RH_9,RH_10,RH_11,RH_12,RH_13,RH_14
11-02-2020,0.0,0.0,19.0,18.0,19.0,17.0,16.0,16.0,16.0,17.0,18.0,17.0,16.0,17.0,16.0,17.0,18.0,46.0,46.0,53.0,52.0,50.0,50.0,54.0,52.0,48.0,53.0,55.0,58.0,58.0,58.0,59.0
12-02-2020,0.0,0.0,21.0,19.0,18.0,19.0,17.0,16.0,16.0,16.0,17.0,18.0,17.0,16.0,17.0,16.0,17.0,45.0,46.0,46.0,53.0,52.0,50.0,50.0,54.0,52.0,48.0,53.0,55.0,58.0,58.0,58.0
13-02-2020,0.0,0.0,23.0,21.0,19.0,18.0,19.0,17.0,16.0,16.0,16.0,17.0,18.0,17.0,16.0,17.0,16.0,44.0,45.0,46.0,46.0,53.0,52.0,50.0,50.0,54.0,52.0,48.0,53.0,55.0,58.0,58.0
14-02-2020,0.0,0.0,20.0,23.0,21.0,19.0,18.0,19.0,17.0,16.0,16.0,16.0,17.0,18.0,17.0,16.0,17.0,36.0,44.0,45.0,46.0,46.0,53.0,52.0,50.0,50.0,54.0,52.0,48.0,53.0,55.0,58.0
15-02-2020,0.0,0.0,20.0,20.0,23.0,21.0,19.0,18.0,19.0,17.0,16.0,16.0,16.0,17.0,18.0,17.0,16.0,32.0,36.0,44.0,45.0,46.0,46.0,53.0,52.0,50.0,50.0,54.0,52.0,48.0,53.0,55.0
16-02-2020,0.0,0.0,22.0,20.0,20.0,23.0,21.0,19.0,18.0,19.0,17.0,16.0,16.0,16.0,17.0,18.0,17.0,27.0,32.0,36.0,44.0,45.0,46.0,46.0,53.0,52.0,50.0,50.0,54.0,52.0,48.0,53.0
17-02-2020,0.0,0.0,23.0,22.0,20.0,20.0,23.0,21.0,19.0,18.0,19.0,17.0,16.0,16.0,16.0,17.0,18.0,30.0,27.0,32.0,36.0,44.0,45.0,46.0,46.0,53.0,52.0,50.0,50.0,54.0,52.0,48.0
18-02-2020,0.0,0.0,23.0,23.0,22.0,20.0,20.0,23.0,21.0,19.0,18.0,19.0,17.0,16.0,16.0,16.0,17.0,25.0,30.0,27.0,32.0,36.0,44.0,45.0,46.0,46.0,53.0,52.0,50.0,50.0,54.0,52.0
19-02-2020,0.0,0.0,21.0,23.0,23.0,22.0,20.0,20.0,23.0,21.0,19.0,18.0,19.0,17.0,16.0,16.0,16.0,30.0,25.0,30.0,27.0,32.0,36.0,44.0,45.0,46.0,46.0,53.0,52.0,50.0,50.0,54.0
20-02-2020,0.0,0.0,21.0,21.0,23.0,23.0,22.0,20.0,20.0,23.0,21.0,19.0,18.0,19.0,17.0,16.0,16.0,39.0,30.0,25.0,30.0,27.0,32.0,36.0,44.0,45.0,46.0,46.0,53.0,52.0,50.0,50.0
21-02-2020,0.0,0.0,23.0,21.0,21.0,23.0,23.0,22.0,20.0,20.0,23.0,21.0,19.0,18.0,19.0,17.0,16.0,54.0,39.0,30.0,25.0,30.0,27.0,32.0,36.0,44.0,45.0,46.0,46.0,53.0,52.0,50.0
22-02-2020,0.0,0.0,20.0,23.0,21.0,21.0,23.0,23.0,22.0,20.0,20.0,23.0,21.0,19.0,18.0,19.0,17.0,65.0,54.0,39.0,30.0,25.0,30.0,27.0,32.0,36.0,44.0,45.0,46.0,46.0,53.0,52.0
23-02-2020,0.0,0.0,22.0,20.0,23.0,21.0,21.0,23.0,23.0,22.0,20.0,20.0,23.0,21.0,19.0,18.0,19.0,57.0,65.0,54.0,39.0,30.0,25.0,30.0,27.0,32.0,36.0,44.0,45.0,46.0,46.0,53.0
24-02-2020,0.0,0.0,23.0,22.0,20.0,23.0,21.0,21.0,23.0,23.0,22.0,20.0,20.0,23.0,21.0,19.0,18.0,49.0,57.0,65.0,54.0,39.0,30.0,25.0,30.0,27.0,32.0,36.0,44.0,45.0,46.0,46.0
25-02-2020,0.0,0.0,23.0,23.0,22.0,20.0,23.0,21.0,21.0,23.0,23.0,22.0,20.0,20.0,23.0,21.0,19.0,39.0,49.0,57.0,65.0,54.0,39.0,30.0,25.0,30.0,27.0,32.0,36.0,44.0,45.0,46.0
26-02-2020,0.0,0.0,25.0,23.0,23.0,22.0,20.0,23.0,21.0,21.0,23.0,23.0,22.0,20.0,20.0,23.0,21.0,34.0,39.0,49.0,57.0,65.0,54.0,39.0,30.0,25.0,30.0,27.0,32.0,36.0,44.0,45.0
27-02-2020,0.0,0.0,25.0,25.0,23.0,23.0,22.0,20.0,23.0,21.0,21.0,23.0,23.0,22.0,20.0,20.0,23.0,42.0,34.0,39.0,49.0,57.0,65.0,54.0,39.0,30.0,25.0,30.0,27.0,32.0,36.0,44.0
28-02-2020,0.0,0.0,24.0,25.0,25.0,23.0,23.0,22.0,20.0,23.0,21.0,21.0,23.0,23.0,22.0,20.0,20.0,46.0,42.0,34.0,39.0,49.0,57.0,65.0,54.0,39.0,30.0,25.0,30.0,27.0,32.0,36.0
29-02-2020,0.0,0.0,26.0,24.0,25.0,25.0,23.0,23.0,22.0,20.0,23.0,21.0,21.0,23.0,23.0,22.0,20.0,54.0,46.0,42.0,34.0,39.0,49.0,57.0,65.0,54.0,39.0,30.0,25.0,30.0,27.0,32.0
01-03-2020,0.0,0.0,23.0,26.0,24.0,25.0,25.0,23.0,23.0,22.0,20.0,23.0,21.0,21.0,23.0,23.0,22.0,63.0,54.0,46.0,42.0,34.0,39.0,49.0,57.0,65.0,54.0,39.0,30.0,25.0,30.0,27.0
02-03-2020,0.0,0.0,24.0,23.0,26.0,24.0,25.0,25.0,23.0,23.0,22.0,20.0,23.0,21.0,21.0,23.0,23.0,53.0,63.0,54.0,46.0,42.0,34.0,39.0,49.0,57.0,65.0,54.0,39.0,30.0,25.0,30.0
03-03-2020,0.0,0.0,25.0,24.0,23.0,26.0,24.0,25.0,25.0,23.0,23.0,22.0,20.0,23.0,21.0,21.0,23.0,42.0,53.0,63.0,54.0,46.0,42.0,34.0,39.0,49.0,57.0,65.0,54.0,39.0,30.0,25.0
04-03-2020,7.0,0.0,25.0,25.0,24.0,23.0,26.0,24.0,25.0,25.0,23.0,23.0,22.0,20.0,23.0,21.0,21.0,44.0,42.0,53.0,63.0,54.0,46.0,42.0,34.0,39.0,49.0,57.0,65.0,54.0,39.0,30.0
05-03-2020,0.0,0.0,24.0,25.0,25.0,24.0,23.0,26.0,24.0,25.0,25.0,23.0,23.0,22.0,20.0,23.0,21.0,55.0,44.0,42.0,53.0,63.0,54.0,46.0,42.0,34.0,39.0,49.0,57.0,65.0,54.0,39.0
06-03-2020,0.0,0.0,23.0,24.0,25.0,25.0,24.0,23.0,26.0,24.0,25.0,25.0,23.0,23.0,22.0,20.0,23.0,63.0,55.0,44.0,42.0,53.0,63.0,54.0,46.0,42.0,34.0,39.0,49.0,57.0,65.0,54.0
07-03-2020,0.0,0.0,22.0,23.0,24.0,25.0,25.0,24.0,23.0,26.0,24.0,25.0,25.0,23.0,23.0,22.0,20.0,59.0,63.0,55.0,44.0,42.0,53.0,63.0,54.0,46.0,42.0,34.0,39.0,49.0,57.0,65.0
08-03-2020,0.0,0.0,23.0,22.0,23.0,24.0,25.0,25.0,24.0,23.0,26.0,24.0,25.0,25.0,23.0,23.0,22.0,46.0,59.0,63.0,55.0,44.0,42.0,53.0,63.0,54.0,46.0,42.0,34.0,39.0,49.0,57.0
